,序列,书名,作者,仙草,粮草,干草,枯草,毒草
0,13044,一睡万年,翔炎,10,2,2,5,1
1,13045,星墓,风起闲云,2,0,0,0,9
2,13046,系统逼我做皇帝,景以,4,1,1,2,22
3,13047,老祖出棺,李四羊,2,1,3,1,10
4,13048,我的钢铁战衣,钢铁战衣,4,1,2,0,15
5,13049,龙虎香江,纪墨白,3,6,5,2,12
6,13050,奥术起源,永夜骑士,16,3,2,1,6
7,13051,南宋第一卧底,龙渊,9,1,0,0,19
8,13052,女权世界的真汉子,二次元的土豆,3,2,0,1,20
9,13053,乘龙佳婿,府天,6,3,4,3,23
10,13054,在美利坚当大咖,當當的响亮,4,0,0,1,6
11,13055,我不想当老大,超级麦克风,6,1,1,2,12
12,13056,北颂,圣诞稻草人,40,6,1,3,13
13,13057,球霸的黑科技系统,不爱吃草的羊,3,3,1,0,11
14,13058,柯南之从聊天群开始,西瓜卿,2,2,2,0,27
15,13059,重生之绝代仙尊,封情老衲,1,1,0,0,37
16,13061,征服天国之曙光时代,实心熊,9,1,3,1,8
17,13062,重生之激荡年华,皇家雇佣猫,15,1,2,1,4
18,13063,无垠,醉虎,10,3,5,3,19
19,13064,咸鱼的科技直播间,麒麟2,1,0,0,0,7
20,13065,我是勤行第一人,光暗之心,1,1,1,0,12
